class,PrecisionRecallAUC,FrequencyPositiveClass,n_positives,n_negatives
5-Fluorocytosine,NaN,NaN,NaN,NaN
Amikacin,0.02517683058977127,0.01687344913151365,34,1981
Aminoglycosides,NaN,NaN,NaN,NaN
Amoxicillin,NaN,NaN,NaN,NaN
Amoxicillin+Clavulanic acid,NaN,NaN,NaN,NaN
Amoxicillin-Clavulanic acid,0.6289883255958557,0.22983626440266827,1516,5080
Amoxicillin-Clavulanic acid_uncomplicated_HWI,NaN,NaN,NaN,NaN
AmphotericinB,NaN,NaN,NaN,NaN
Ampicillin,0.7247997522354126,0.703795259560855,4840,2037
Ampicillin+Sulbactam,NaN,NaN,NaN,NaN
Ampicillin-Amoxicillin,NaN,NaN,NaN,NaN
Ampicillin-Sulbactam,0.4425380825996399,0.5052264808362369,145,142
Anidulafungin,NaN,NaN,NaN,NaN
Azithromycin,NaN,NaN,NaN,NaN
Aztreonam,0.15997549891471863,0.10526315789473684,24,204
Bacitracin,NaN,NaN,NaN,NaN
Benzylpenicillin,NaN,NaN,NaN,NaN
Benzylpenicillin_others,NaN,NaN,NaN,NaN
Benzylpenicillin_with_meningitis,NaN,NaN,NaN,NaN
Benzylpenicillin_with_pneumonia,NaN,NaN,NaN,NaN
Caspofungin,NaN,NaN,NaN,NaN
Cefalotin-Cefazolin,NaN,NaN,NaN,NaN
Cefazolin,NaN,NaN,NaN,NaN
Cefepime,0.10187041014432907,0.04853110599078341,337,6607
Cefixime,NaN,NaN,NaN,NaN
Cefotaxim,NaN,NaN,NaN,NaN
Cefotaxime,0.0714285746216774,0.04,1,24
Cefoxitin,NaN,NaN,NaN,NaN
Cefoxitin_screen,NaN,NaN,NaN,NaN
Cefpodoxime,NaN,NaN,NaN,NaN
Ceftarolin,NaN,NaN,NaN,NaN
Ceftazidime,0.17460086941719055,0.08008658008658008,555,6375
Ceftazidime-Avibactam,NaN,NaN,NaN,NaN
Ceftobiprole,NaN,NaN,NaN,NaN
Ceftolozane-Tazobactam,NaN,NaN,NaN,NaN
Ceftriaxone,0.1713159829378128,0.07993351465699607,529,6089
Cefuroxime,NaN,NaN,NaN,NaN
Chloramphenicol,0.043478261679410934,0.038461538461538464,1,25
Ciprofloxacin,0.2858339548110962,0.116226953244372,1141,8676
Clarithromycin,NaN,NaN,NaN,NaN
Clindamycin,0.5237712264060974,0.384180790960452,136,218
Colistin,0.07398329675197601,0.06070287539936102,19,294
Cotrimoxazol,NaN,NaN,NaN,NaN
Cotrimoxazole,1.0,1.0,1280,0
Daptomycin,0.1775163859128952,0.11224489795918367,44,348
Doxycycline,NaN,NaN,NaN,NaN
Ertapenem,0.024524284526705742,0.018038502349552826,119,6478
Erythromycin,0.4312379062175751,0.2887700534759358,702,1729
Fluconazol,NaN,NaN,NaN,NaN
Fluconazole,NaN,NaN,NaN,NaN
Fosfomycin,0.23587587475776672,0.15183028286189684,1460,8156
Fosfomycin-Trometamol,NaN,NaN,NaN,NaN
Fusidic acid,NaN,NaN,NaN,NaN
Gentamicin,0.19640414416790009,0.04937163375224417,495,9531
Gentamicin_high_level,NaN,NaN,NaN,NaN
Imipenem,0.4846296012401581,0.080997798972854,552,6263
Isavuconazole,NaN,NaN,NaN,NaN
Itraconazole,NaN,NaN,NaN,NaN
Levofloxacin,0.32408058643341064,0.22380952380952382,47,163
Linezolid,0.0009432119550183415,0.0012004801920768306,4,3328
Meropenem,0.06094038486480713,0.01539250897896357,30,1919
Meropenem_with_meningitis,NaN,NaN,NaN,NaN
Meropenem_without_meningitis,NaN,NaN,NaN,NaN
Metronidazole,NaN,NaN,NaN,NaN
Micafungin,NaN,NaN,NaN,NaN
Minocycline,NaN,NaN,NaN,NaN
Moxifloxacin,NaN,NaN,NaN,NaN
Mupirocin,NaN,NaN,NaN,NaN
Neomycin,NaN,NaN,NaN,NaN
Nitrofurantoin,NaN,NaN,NaN,NaN
Norfloxacin,NaN,NaN,NaN,NaN
Novobiocin,NaN,NaN,NaN,NaN
Oxacillin,NaN,NaN,NaN,NaN
Penicillin,0.8548911809921265,0.8395402298850575,1826,349
PenicillinG,NaN,NaN,NaN,NaN
Penicillin_with_endokarditis,NaN,NaN,NaN,NaN
Penicillin_with_meningitis,NaN,NaN,NaN,NaN
Penicillin_with_other_infections,NaN,NaN,NaN,NaN
Penicillin_with_pneumonia,NaN,NaN,NaN,NaN
Penicillin_without_endokarditis,NaN,NaN,NaN,NaN
Piperacillin,0.1627407670021057,0.13095238095238096,33,219
Piperacillin-Tazobactam,0.13930481672286987,0.08356424092168586,573,6284
Polymyxin B,NaN,NaN,NaN,NaN
Posaconazole,NaN,NaN,NaN,NaN
Quinolones,NaN,NaN,NaN,NaN
Rifampicin,0.028887677937746048,0.006981382978723404,21,2987
Rifampicin_1mg-l,NaN,NaN,NaN,NaN
Strepomycin_high_level,NaN,NaN,NaN,NaN
Teicoplanin,0.02901662141084671,0.027874564459930314,8,279
Teicoplanin_GRD,NaN,NaN,NaN,NaN
Tetracycline,0.34797102212905884,0.09816152330925805,299,2747
Ticarcillin,0.7022109031677246,0.7030567685589519,161,68
Ticarcillin-Clavulan acid,0.4717928469181061,0.4425531914893617,104,131
Tigecycline,0.0023621362634003162,0.000651890482398957,2,3066
Tobramycin,0.05704071372747421,0.036923076923076927,12,313
Vancomycin,0.011212160810828209,0.005103572500750525,17,3314
Voriconazole,NaN,NaN,NaN,NaN
micro,0.45979976654052734,0.15171880417100034,,
macro,0.26974542040775035,NaN,,
